Date,Open,High,Low,Close,Adj Close,Volume
2000-03-15,54.229935,55.003460,53.522949,53.814060,17.155441,2341685
2000-03-16,54.820477,58.097561,54.704029,58.097561,18.520990,5601863
2000-03-17,58.629879,58.837814,55.851841,57.423843,18.306219,46575930
2000-03-20,57.423843,58.014385,55.527458,56.267715,17.937647,3055075
2000-03-21,55.935017,57.340672,55.727081,56.600414,18.043705,3618131
2000-03-22,56.933113,58.305496,56.392479,57.307400,18.269096,5881555
2000-03-23,57.681686,58.305496,56.600414,56.816669,18.112658,3800219
2000-03-24,57.390575,59.536484,56.974701,58.388672,18.613789,5095731
2000-03-27,58.222321,59.802643,57.972797,58.263908,18.574020,3491975
2000-03-28,57.972797,58.214005,56.226128,56.592098,18.041059,5024337
2000-03-29,56.775082,56.966385,55.727081,56.567146,18.033106,2464511
2000-03-30,56.392479,57.723274,56.142956,56.725178,18.083485,2765742
2000-03-31,57.224224,57.598511,56.567146,56.575462,18.035757,1923300
2000-04-03,57.257496,58.263908,56.475655,57.972797,18.481213,2506265
2000-04-04,58.754642,59.910770,58.122513,58.762959,18.733116,3210682
2000-04-05,58.305496,59.012482,57.224224,58.846134,18.759628,3693466
2000-04-06,58.887718,59.162197,57.848038,58.230640,18.563412,2686312
2000-04-07,58.596607,58.629879,57.182636,57.806450,18.428186,2471241
2000-04-10,57.806450,58.305496,56.517239,57.972797,18.481213,2280984
2000-04-11,57.889622,58.313812,57.232544,57.931210,18.467960,2107191
2000-04-12,57.931210,58.638195,57.099464,58.388672,18.613789,2182337
2000-04-13,57.598511,58.638195,57.523655,58.222321,18.560764,2330903
2000-04-14,57.889622,58.263908,56.899845,57.423843,18.306219,2388606
2000-04-17,55.768665,57.166004,55.643906,56.974701,18.163033,3263384
2000-04-18,57.224224,57.581879,56.043144,57.149368,18.218714,2746007
2000-04-19,57.057877,57.057877,54.936920,56.309303,17.950911,5838839
2000-04-20,54.437870,54.712349,52.691200,52.691200,17.529043,4491472
2000-04-21,52.691200,52.691200,52.691200,52.691200,17.529043,0
2000-04-24,52.691200,52.691200,52.691200,52.691200,17.529043,0
2000-04-25,52.774376,54.479458,52.691200,54.313110,18.068611,3045019
2000-04-26,54.895332,55.020096,54.288158,54.437870,18.110113,1689556
2000-04-27,54.229935,54.304790,52.899139,52.973995,17.623121,1886133
2000-04-28,53.389870,53.897236,52.815964,53.356602,17.750402,2176727
2000-05-01,53.356602,53.356602,53.356602,53.356602,17.750402,0
2000-05-02,53.231838,53.814060,53.115395,53.689301,17.861086,1777721
2000-05-03,53.647713,54.629173,53.431458,53.647713,17.847250,2255873
2000-05-04,53.647713,54.105171,53.281742,53.855648,17.916428,2028507
2000-05-05,54.021999,54.021999,53.073807,53.897236,17.930260,1891391
2000-05-08,53.705933,53.888920,52.990631,53.306694,17.733801,1734677
2000-05-09,53.306694,53.306694,53.306694,53.306694,17.733801,0
2000-05-10,52.400089,52.583073,50.695007,51.069294,16.989473,4019692
2000-05-11,50.670055,50.902946,49.696911,50.403896,16.768116,4440892
2000-05-12,50.611832,51.368725,50.611832,51.135834,17.011612,2326017
2000-05-15,50.902946,51.518436,50.877991,51.152470,17.017145,1628502
2000-05-16,51.526756,52.599709,51.285549,51.618248,17.172102,2821359
2000-05-17,51.817867,51.934311,50.362309,50.952850,16.950733,2376353
2000-05-18,50.902946,51.693104,50.536976,50.794819,16.898165,2162037
2000-05-19,50.528660,50.902946,49.904846,50.154373,16.685101,2650441
2000-05-22,50.071198,51.144150,49.954754,50.661739,16.853895,2526343
2000-05-23,50.570248,51.443581,50.545292,50.670055,16.856661,2259749
2000-05-24,50.320721,51.144150,50.320721,50.570248,16.823452,2075431
2000-05-25,51.069294,51.693104,50.279133,50.503708,16.801317,2641846
2000-05-26,50.403896,50.695007,49.530560,49.580467,16.494183,2531389
2000-05-29,49.746815,50.237549,49.505608,49.788403,16.563358,1718058
2000-05-30,49.913166,50.237549,49.497292,49.821674,16.574421,1880772
2000-05-31,50.071198,50.071198,47.950241,48.490875,16.131701,3828301
2000-06-01,48.657227,48.981609,47.908653,48.465923,16.123402,1868753
2000-06-02,48.174812,48.282940,47.417923,48.199764,16.034857,4213353
2000-06-05,48.440971,49.555515,48.241352,49.314308,16.405636,2542610
2000-06-06,49.572147,50.570248,49.505608,50.121101,16.674036,3080170
2000-06-07,49.946434,50.728279,49.838306,50.487072,16.795782,2285575
2000-06-08,50.653419,51.160786,50.112785,50.179325,16.693403,2679992
2000-06-09,50.270817,50.528660,49.738499,49.904846,16.602091,1784631
2000-06-12,50.262501,50.403896,49.854942,49.904846,16.602091,342494
2000-06-13,49.813354,50.029610,49.281036,49.488976,16.463743,2401956
2000-06-14,49.863258,49.863258,48.740402,49.156277,16.353062,2754845
2000-06-15,48.906750,49.247768,48.124908,48.158176,16.021015,2499930
2000-06-16,48.449291,48.490875,46.960461,46.960461,15.622570,23287505
2000-06-19,47.401287,47.875385,47.160080,47.825478,15.910340,2570553
2000-06-20,47.983513,48.141544,47.060272,47.351383,15.752617,2068220
2000-06-21,47.409603,47.575954,46.236839,46.577858,15.495286,3223954
2000-06-22,46.594494,46.744205,45.762745,46.037224,15.315433,2330299
2000-06-23,46.203571,46.902241,45.754429,46.785793,15.564458,2360199
2000-06-26,47.160080,47.376335,46.419827,46.611130,15.506353,2503527
2000-06-27,46.993732,47.268208,46.461414,47.218304,15.708349,2137671
2000-06-28,47.334747,47.634178,46.378239,46.819065,15.575533,2064156
2000-06-29,46.785793,46.868969,45.912460,45.912460,15.273927,1845669
2000-06-30,45.854237,46.336651,45.421730,45.438362,15.116204,2190240
2000-07-03,45.787697,46.369923,45.588078,46.037224,15.315433,1971753
2000-07-04,46.361603,47.326431,46.087128,47.101860,15.669609,2348950
2000-07-05,46.993732,47.817162,46.170300,46.752525,15.553394,2940760
2000-07-06,46.744205,46.819065,45.912460,46.161983,15.356936,2477618
2000-07-07,46.161983,46.161983,46.161983,46.161983,15.356936,0
2000-07-10,47.733986,48.890118,47.617542,48.282940,16.062525,3679128
2000-07-11,48.282940,48.781990,47.783894,48.058369,15.987818,1894347
2000-07-12,48.316212,48.316212,47.467827,47.892017,15.932475,1803958
2000-07-13,47.892017,47.892017,47.892017,47.892017,15.932475,0
2000-07-14,47.284843,47.559319,46.494682,47.160080,15.688974,2753403
2000-07-17,47.409603,47.783894,46.685986,46.819065,15.575533,2454333
2000-07-18,46.760841,48.424335,46.710938,47.950241,15.951838,2168635
2000-07-19,48.075005,50.195957,47.966877,49.838306,16.579958,5272092
2000-07-20,50.220913,51.027706,49.988022,50.121101,16.674036,3868929
2000-07-21,50.220913,50.736595,49.114689,49.123005,16.341991,2568147
2000-07-24,48.499195,48.823578,47.617542,48.241352,16.048689,3729454
2000-07-25,47.867065,47.991829,46.619446,46.769161,15.558928,2967739
2000-07-26,46.844017,47.825478,45.629665,47.575954,15.827330,5882885
2000-07-27,47.118492,47.534367,46.095444,46.794113,15.567231,2733669
2000-07-28,47.118492,48.416019,46.095444,47.459511,15.788589,3085973
2000-07-31,47.575954,48.241352,47.168400,47.501099,15.802423,1551996
2000-08-01,47.659130,47.659130,46.577858,47.160080,15.688974,2065985
